full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,89359,89359,10497,2529,2529,1913,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,125719,125719,16957,2027,2027,670,https://github.com/affaan-m/everything-claude-code
nirholas/claude-code,4297,4297,5765,3776,3776,5142,https://github.com/nirholas/claude-code
Kuberwastaken/claude-code,2056,2056,3469,1931,1931,3217,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45005,45005,6914,330,330,80,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,4062,4062,7241,1685,1685,3116,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35000,35000,2567,164,164,26,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30862,30862,2389,30,30,4,https://github.com/musistudio/claude-code-router
chatgptprojects/claude-code,1023,1023,1280,700,700,915,https://github.com/chatgptprojects/claude-code
davila7/claude-code-templates,23908,23908,2316,32,32,6,https://github.com/davila7/claude-code-templates
jarmuine/claude-code,377,377,1524,339,339,1306,https://github.com/jarmuine/claude-code
claude-code-best/claude-code,680,680,1032,680,680,1032,https://github.com/claude-code-best/claude-code
shanraisshan/claude-code-best-practice,28197,28197,2353,658,658,72,https://github.com/shanraisshan/claude-code-best-practice
sanbuphy/claude-code-source-code,2961,2961,5895,2280,2280,4797,https://github.com/sanbuphy/claude-code-source-code
VoltAgent/awesome-claude-code-subagents,15794,15794,1773,44,44,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6770,6770,1623,14,14,6,https://github.com/anthropics/claude-code-action
pengchengneo/Claude-Code,415,415,805,251,251,560,https://github.com/pengchengneo/Claude-Code
instructkr/claw-code,46476,46476,55080,46476,46476,55080,https://github.com/instructkr/claw-code
diet103/claude-code-infrastructure-showcase,9382,9382,1200,5,5,-1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7649,7649,1121,36,36,7,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,7347,7347,1072,158,158,100,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8310,8310,603,16,16,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,6991,6991,481,23,23,1,https://github.com/ykdojo/claude-code-tips
oboard/claude-code-rev,792,792,1211,596,596,955,https://github.com/oboard/claude-code-rev
ChrisWiles/claude-code-showcase,5649,5649,498,12,12,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,812,812,1545,2,2,6,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3759,3759,553,3,3,0,https://github.com/OneRedOak/claude-code-workflows
beita6969/claude-code,142,142,363,142,142,363,https://github.com/beita6969/claude-code
Onewon/claude-code,55,55,509,23,23,308,https://github.com/Onewon/claude-code
1rgs/claude-code-proxy,3332,3332,440,1,1,0,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26093,26093,9925,24,24,51,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3447,3447,586,1,1,0,https://github.com/disler/claude-code-hooks-mastery
tanbiralam/claude-code,165,165,296,107,107,202,https://github.com/tanbiralam/claude-code
zebbern/claude-code-guide,3769,3769,352,5,5,1,https://github.com/zebbern/claude-code-guide
sickn33/antigravity-awesome-skills,29370,29370,4904,183,183,35,https://github.com/sickn33/antigravity-awesome-skills
hangsman/claude-code-source,381,381,926,120,120,271,https://github.com/hangsman/claude-code-source
kodu-ai/claude-coder,5288,5288,198,0,0,0,https://github.com/kodu-ai/claude-coder
anthropics/skills,107459,107459,11909,183,183,31,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7233,7233,353,7,7,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2313,2313,384,5,5,3,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2294,2294,323,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4084,4084,343,5,5,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2296,2296,305,3,3,2,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2628,2628,376,29,29,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2542,2542,267,3,3,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,743,743,590,2,2,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2232,2232,253,2,2,0,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,469,469,639,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1375,1375,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21678,21678,3573,75,75,16,https://github.com/router-for-me/CLIProxyAPI
Pimzino/claude-code-spec-workflow,3595,3595,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
obra/superpowers,127813,127813,10443,524,524,62,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,26328,26328,2468,5,5,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,32648,32648,3558,13,13,6,https://github.com/wshobson/agents
wanshuiyin/Auto-claude-code-research-in-sleep,5004,5004,410,27,27,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
anthropics/claude-plugins-official,15553,15553,1694,46,46,7,https://github.com/anthropics/claude-plugins-official
zhukunpenglinyutong/idea-claude-code-gui,2268,2268,262,2,2,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
snarktank/ralph,14154,14154,1442,20,20,5,https://github.com/snarktank/ralph
bfly123/claude_code_bridge,2007,2007,183,3,3,0,https://github.com/bfly123/claude_code_bridge
Leonxlnx/claude-code-system-prompts,754,754,392,754,754,392,https://github.com/Leonxlnx/claude-code-system-prompts
ghuntley/claude-code-source-code-deobfuscation,919,919,510,17,17,38,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1391,1391,207,1,1,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9201,9201,1182,24,24,6,https://github.com/siteboon/claudecodeui
carlvellotti/claude-code-pm-course,1711,1711,264,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
ponponon/claude_code_src,226,226,428,226,226,428,https://github.com/ponponon/claude_code_src
sugyan/claude-code-webui,987,987,227,-2,-2,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2137,2137,213,2,2,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1506,1506,239,1,1,0,https://github.com/lst97/claude-code-sub-agents
zstmfhy/Claude-code,79,79,154,79,79,154,https://github.com/zstmfhy/Claude-code
VineeTagarwaL-code/claude-code,123,123,126,123,123,126,https://github.com/VineeTagarwaL-code/claude-code
tvytlx/claude-code-deep-dive,844,844,300,844,844,300,https://github.com/tvytlx/claude-code-deep-dive
darcyegb/ClaudeCodeAgents,635,635,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1283,1283,167,5,5,2,https://github.com/Alishahryar1/free-claude-code
alirezarezvani/claude-skills,8353,8353,990,70,70,7,https://github.com/alirezarezvani/claude-skills
slopus/happy,16798,16798,1335,20,20,-1,https://github.com/slopus/happy
rohitg00/awesome-claude-code-toolkit,975,975,251,6,6,3,https://github.com/rohitg00/awesome-claude-code-toolkit
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
Yeachan-Heo/oh-my-claudecode,18633,18633,1355,488,488,78,https://github.com/Yeachan-Heo/oh-my-claudecode
lowcortisolprogrammer/claude-code,116,116,110,116,116,110,https://github.com/lowcortisolprogrammer/claude-code
farion1231/cc-switch,36338,36338,2168,113,113,4,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1370,1370,144,2,2,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1724,1724,132,2,2,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1211,1211,150,3,3,0,https://github.com/steipete/claude-code-mcp
catlog22/Claude-Code-Workflow,1632,1632,137,1,1,0,https://github.com/catlog22/Claude-Code-Workflow
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2536,2536,425,18,18,5,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Njengah/claude-code-cheat-sheet,1505,1505,190,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
jeremylongshore/claude-code-plugins-plus-skills,1776,1776,235,12,12,4,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,1013,1013,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,363,0,0,-1,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1192,1192,128,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
jarrodwatts/claude-hud,15713,15713,656,85,85,5,https://github.com/jarrodwatts/claude-hud
0xfurai/claude-code-subagents,806,806,144,0,0,0,https://github.com/0xfurai/claude-code-subagents
ComposioHQ/awesome-claude-skills,49828,49828,5160,102,102,5,https://github.com/ComposioHQ/awesome-claude-skills
freestylefly/claude-code,60,60,113,60,60,113,https://github.com/freestylefly/claude-code
jarrodwatts/claude-code-config,1005,1005,126,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1646,1646,103,2,2,0,https://github.com/pchalasani/claude-code-tools
