full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,82220,82220,6874,78,78,13,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,105060,105060,13661,612,612,78,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,38040,38040,6000,120,120,10,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30339,30339,2344,6,6,2,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,31893,31893,2219,225,225,16,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,23519,23519,2263,14,14,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,21612,21612,1884,98,98,10,https://github.com/shanraisshan/claude-code-best-practice
anthropics/claude-code-action,6550,6550,1590,10,10,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,15056,15056,1683,38,38,2,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9329,9329,1195,-1,-1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8153,8153,593,8,8,-1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6549,6549,892,43,43,5,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5575,5575,489,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
ykdojo/claude-code-tips,6668,6668,455,16,16,0,https://github.com/ykdojo/claude-code-tips
OneRedOak/claude-code-workflows,3740,3740,550,0,0,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,754,754,1393,1,1,4,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3295,3295,430,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3397,3397,585,2,2,-1,https://github.com/disler/claude-code-hooks-mastery
Donchitos/Claude-Code-Game-Studios,4019,4019,537,118,118,17,https://github.com/Donchitos/Claude-Code-Game-Studios
kodu-ai/claude-coder,5288,5288,197,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3716,3716,343,2,2,0,https://github.com/zebbern/claude-code-guide
qwibitai/nanoclaw,25311,25311,8500,35,35,85,https://github.com/qwibitai/nanoclaw
Maciek-roboblog/Claude-Code-Usage-Monitor,7117,7117,346,8,8,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2240,2240,371,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,102030,102030,11195,177,177,29,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2226,2226,314,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,3979,3979,338,3,3,3,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2242,2242,289,5,5,0,https://github.com/RichardAtCT/claude-code-telegram
Cranot/claude-code-guide,2517,2517,263,2,2,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2083,2083,242,2,2,0,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,621,621,589,0,0,0,https://github.com/anthropics/claude-code-base-action
edmund-io/edmunds-claude-code,1352,1352,278,0,0,0,https://github.com/edmund-io/edmunds-claude-code
FlorianBruniaux/claude-code-ultimate-guide,2202,2202,329,10,10,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
https-deeplearning-ai/sc-claude-code-files,463,463,625,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,19817,19817,3210,46,46,14,https://github.com/router-for-me/CLIProxyAPI
Pimzino/claude-code-spec-workflow,3579,3579,251,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,32192,32192,3513,17,17,1,https://github.com/wshobson/agents
obra/superpowers,110570,110570,8869,412,412,34,https://github.com/obra/superpowers
snarktank/ralph,13687,13687,1409,8,8,0,https://github.com/snarktank/ralph
sickn33/antigravity-awesome-skills,27137,27137,4588,57,57,5,https://github.com/sickn33/antigravity-awesome-skills
zhukunpenglinyutong/idea-claude-code-gui,2122,2122,240,2,2,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
feiskyer/claude-code-settings,1360,1360,202,0,0,-1,https://github.com/feiskyer/claude-code-settings
eyaltoledano/claude-task-master,26151,26151,2453,3,3,-1,https://github.com/eyaltoledano/claude-task-master
sugyan/claude-code-webui,980,980,225,1,1,0,https://github.com/sugyan/claude-code-webui
siteboon/claudecodeui,8880,8880,1134,13,13,2,https://github.com/siteboon/claudecodeui
carlvellotti/claude-code-pm-course,1667,1667,252,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
centminmod/my-claude-code-setup,2101,2101,209,0,0,-1,https://github.com/centminmod/my-claude-code-setup
bfly123/claude_code_bridge,1843,1843,166,3,3,0,https://github.com/bfly123/claude_code_bridge
wanshuiyin/Auto-claude-code-research-in-sleep,3802,3802,308,26,26,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
lst97/claude-code-sub-agents,1489,1489,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,869,869,422,-1,-1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
darcyegb/ClaudeCodeAgents,619,619,55,2,2,1,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/claude-plugins-official,14502,14502,1512,34,34,8,https://github.com/anthropics/claude-plugins-official
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
slopus/happy,16123,16123,1280,14,14,0,https://github.com/slopus/happy
rizethereum/claude-code-requirements-builder,1760,1760,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
catlog22/Claude-Code-Workflow,1577,1577,130,3,3,0,https://github.com/catlog22/Claude-Code-Workflow
trailofbits/claude-code-config,1665,1665,129,1,1,-1,https://github.com/trailofbits/claude-code-config
farion1231/cc-switch,32903,32903,1976,62,62,2,https://github.com/farion1231/cc-switch
Njengah/claude-code-cheat-sheet,1475,1475,185,3,3,0,https://github.com/Njengah/claude-code-cheat-sheet
alirezarezvani/claude-skills,6766,6766,803,47,47,8,https://github.com/alirezarezvani/claude-skills
steipete/claude-code-mcp,1197,1197,148,1,1,1,https://github.com/steipete/claude-code-mcp
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2327,2327,387,2,2,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
andrepimenta/claude-code-chat,1006,1006,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
Alishahryar1/free-claude-code,1122,1122,138,3,3,0,https://github.com/Alishahryar1/free-claude-code
jeremylongshore/claude-code-plugins-plus-skills,1708,1708,216,2,2,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
disler/claude-code-hooks-multi-agent-observability,1297,1297,357,1,1,-1,https://github.com/disler/claude-code-hooks-multi-agent-observability
rohitg00/awesome-claude-code-toolkit,897,897,205,2,2,2,https://github.com/rohitg00/awesome-claude-code-toolkit
JessyTsui/Claude-Code-Remote,1187,1187,129,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1162,1162,136,2,2,1,https://github.com/simonw/claude-code-transcripts
0xfurai/claude-code-subagents,794,794,143,1,1,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,997,997,125,1,1,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1614,1614,104,1,1,0,https://github.com/pchalasani/claude-code-tools
ComposioHQ/awesome-claude-skills,47582,47582,4895,69,69,10,https://github.com/ComposioHQ/awesome-claude-skills
peterkrueck/Claude-Code-Development-Kit,1331,1331,151,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
d-kimuson/claude-code-viewer,1000,1000,117,1,1,0,https://github.com/d-kimuson/claude-code-viewer
alirezarezvani/claude-code-tresor,638,638,142,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
winfunc/opcode,21087,21087,1620,4,4,0,https://github.com/winfunc/opcode
wasabeef/claude-code-cookbook,1046,1046,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
anthropics/claude-agent-sdk-demos,1828,1828,281,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
revfactory/claude-code-mastering,764,764,124,0,0,0,https://github.com/revfactory/claude-code-mastering
jarrodwatts/claude-hud,12695,12695,524,117,117,3,https://github.com/jarrodwatts/claude-hud
timothywarner-org/claude-code,204,204,31,1,1,1,https://github.com/timothywarner-org/claude-code
cixingguangming55555/wechat-bot,2532,2532,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
Yeachan-Heo/oh-my-claudecode,11255,11255,770,26,26,1,https://github.com/Yeachan-Heo/oh-my-claudecode
severity1/claude-code-prompt-improver,1305,1305,112,1,1,0,https://github.com/severity1/claude-code-prompt-improver
daymade/claude-code-skills,719,719,111,1,1,0,https://github.com/daymade/claude-code-skills
code-yeongyu/oh-my-openagent,43153,43153,3199,53,53,4,https://github.com/code-yeongyu/oh-my-openagent
